127.0.0.1 - - [21/Aug/2018:21:14:49 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/main.jsp HTTP/1.1" 200 11374
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/js/modal_close.js HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/css/modal_pop.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/education.jpg HTTP/1.1" 200 281147
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/economic.jpg HTTP/1.1" 200 380674
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/health&medical.jpg HTTP/1.1" 200 108101
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/art.jpg HTTP/1.1" 200 343539
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/technology.jpg HTTP/1.1" 200 788585
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/environment.jpg HTTP/1.1" 200 689471
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/politics.jpg HTTP/1.1" 200 60280
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/society.jpg HTTP/1.1" 200 911883
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/workshop.jpg HTTP/1.1" 200 13906
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/gondol.jpg HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:50 +0900] "GET /webproject/image/self_development.jpg HTTP/1.1" 200 344142
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:14:53 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:15:04 +0900] "GET /webproject/main.jsp HTTP/1.1" 200 11374
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:15:05 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:15:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:15:32 +0900] "GET /webproject/main.jsp HTTP/1.1" 200 11374
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:15:33 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:15:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:11 +0900] "GET /webproject/main.jsp HTTP/1.1" 200 11374
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:11 +0900] "GET /webproject/css/modal_pop.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:12 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:13 +0900] "POST /webproject/MainController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:14 +0900] "POST /webproject/MainController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:16 +0900] "GET /webproject/main.jsp HTTP/1.1" 200 11374
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:17:17 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:19:11 +0900] "GET /webproject/modaltest.jsp HTTP/1.1" 200 4020
70.12.50.154 - - [21/Aug/2018:21:19:51 +0900] "GET /webproject/main.jsp HTTP/1.1" 200 11374
70.12.50.154 - - [21/Aug/2018:21:19:51 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:20:24 +0900] "POST /webproject/MainController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:22:57 +0900] "GET /webproject/modaltest.jsp HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:25:14 +0900] "GET /webproject/modaltest.jsp HTTP/1.1" 200 5884
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:27:32 +0900] "GET /webproject/modaltest.jsp HTTP/1.1" 200 8412
0:0:0:0:0:0:0:1 - - [21/Aug/2018:21:27:32 +0900] "GET /webproject/css/modal_pop.css HTTP/1.1" 304 -
