topic,languages,main_speaker,duration,film_date,published_date,comments,views
Economy,32,Ngozi Okonjo-Iweala,1213,2007,2007,127,1044185
Technology&Science ,31,Anand Agarawala,279,2007,2007,124,1479503
Society,18,David Rockwell,1477,2002,2007,14,404402
Politics,19,Thomas Barnett,1402,2005,2007,305,1136037
Technology&Science ,25,Stephen Lawler,370,2007,2007,22,308879
Economy,35,Hans Rosling,1137,2007,2007,261,3243784
Technology&Science ,24,Bill Stone,1063,2007,2007,240,1801117
Society,32,Dan Dennett,926,2002,2007,392,1596067
Technology&Science ,33,Alan Russell,1165,2006,2007,150,1427723
Technology&Science ,23,Jonathan Harris,1030,2007,2007,145,1049727
Economy,22,Emily Oster,934,2007,2007,136,854967
Technology&Science ,19,Will Wright,997,2007,2007,126,1107307
Art,34,Rives,552,2007,2007,276,3387765
Technology&Science ,27,David Bolinsky,585,2007,2007,231,1788182
Health&Medical,39,Allison Hunt,288,2007,2007,80,558993
Economy,20,George Ayittey,1070,2007,2007,97,648234
Economy,21,Ngozi Okonjo-Iweala,1330,2007,2007,108,524049
Technology&Science ,44,William Kamkwamba,252,2007,2007,174,1543596
Economy,21,Euvin Naidoo,1141,2007,2007,31,335086
Art,21,Chris Abani,1056,2007,2007,77,561703
Society,26,Jacqueline Novogratz,1103,2007,2007,106,836269
Art,21,Vusi Mahlasela,606,2007,2007,60,531957
Art,23,Jeff Skoll,931,2007,2007,49,727247
Technology&Science ,32,Dean Kamen,310,2007,2007,102,1575699
Art,32,Erin McKean,950,2007,2007,151,1013063
Society,30,Andrew Mwenda,1027,2007,2007,126,722877
Art,32,Theo Jansen,493,2007,2007,304,3982352
Technology&Science ,32,Steven Pinker,1047,2005,2007,124,1914263
Society,32,Steven Pinker,1155,2007,2007,677,2063367
Art,19,Deborah Scranton,1056,2007,2007,164,507997
Technology&Science ,26,Zeresenay Alemseged,951,2007,2007,65,913666
Art,24,John Maeda,959,2007,2007,83,1215947
Technology&Science ,22,Stephen Petranek,1782,2002,2007,169,1712075
Technology&Science ,20,Paul MacCready,1280,2003,2007,29,736290
Technology&Science ,33,Carolyn Porco,1029,2007,2007,225,2627709
Art,43,Kenichi Ebina,212,2007,2007,101,1720579
Self-development,29,Richard Branson,1791,2007,2007,80,1609555
Technology&Science ,28,Hod Lipson,378,2007,2007,242,1212346
Art,21,Maira Kalman,1050,2007,2007,45,672254
Technology&Science ,22,Jan Chipchase,963,2007,2007,145,694378
Technology&Science ,35,VS Ramachandran,1414,2007,2007,432,3930186
Economy,21,Eleni Gabre-Madhin,1234,2007,2007,64,562457
Health&Medical,26,Sherwin Nuland,1338,2001,2007,262,1522858
Society,39,Matthieu Ricard,1254,2004,2007,412,7271730
Society,26,Lawrence Lessig,1136,2007,2007,328,1895259
Technology&Science ,28,Paul Rothemund,299,2007,2007,40,410563
Environment,24,David Keith,958,2007,2007,279,876658
Technology&Science ,21,Juan Enriquez,1090,2007,2007,115,898974
Environment,22,Larry Brilliant,1261,2007,2007,46,418234
Technology&Science ,20,Robert Full,1164,2005,2007,31,707524
Technology&Science ,22,Ron Eglash,1017,2007,2007,185,1527858
Art,29,Philippe Starck,1026,2007,2007,156,1783740
Technology&Science ,29,Murray Gell-Mann,962,2007,2007,160,1181696
Economy,22,Amory Lovins,1184,2005,2007,154,832668
Education,44,Arthur Benjamin,914,2005,2007,604,8360707
Society,34,Daniel Goleman,793,2007,2007,183,1604402
Education,40,Gever Tulley,558,2007,2007,435,4364865
Society,38,Isabel Allende,1080,2007,2008,465,3741423
Self-development,28,Yossi Vardi,375,2007,2008,71,933311
Technology&Science ,21,Deborah Gordon,1231,2003,2008,95,928270
Self-development,23,Frank Gehry,1320,2002,2008,39,959382
Art,22,Raul Midon,640,2007,2008,41,403089
Society,19,Bill Strickland,2128,2002,2008,95,611092
Education,26,Bernie Dunlap,1148,2007,2008,205,1854024
Society,26,Chris Anderson,775,2002,2008,117,324266
Technology&Science ,23,Robin Chase,819,2007,2008,78,434005
Society,25,Jaime Lerner,943,2007,2008,63,596961
Art,17,David Macaulay,1295,2002,2008,30,700273
Technology&Science ,25,Michael Pollan,1045,2007,2008,165,1359400
Society,24,Howard Rheingold,1171,2005,2008,60,931001
Art,24,Pamelia Kurstin,1151,2002,2008,105,1687185
Technology&Science ,24,George Dyson,518,2002,2008,53,785872
Art,20,Moshe Safdie,1066,2002,2008,29,545664
Art,23,Jill Sobule + Julia Sweeney,374,2007,2008,46,487972
Art,20,Raspyni Brothers,927,2002,2008,84,807628
