topic,languages,main_speaker,duration,film_date,published_date,comments,views
Society,47,Alain de Botton,1011,2009,2009,471,5790615
Art,20,Golan Levin,933,2009,2009,85,771144
Technology&Science,27,Elaine Morgan,1033,2009,2009,621,1038576
Art,21,Willard Wigan,1183,2009,2009,103,640722
Technology&Science,32,Michael Pritchard,571,2009,2009,752,3573198
Economy,25,Paul Romer,1109,2009,2009,403,572392
Health&Medical,28,Janine Benyus,1062,2009,2009,141,1118954
Art,24,Emmanuel Jal,1083,2009,2009,210,776516
Society,44,Dan Pink,1116,2009,2009,1094,18830983
Technology&Science,27,Eric Giler,609,2009,2009,428,2088983
Self-development,33,Hans Rosling,1196,2009,2009,122,1471039
Art,24,Natasha Tsakos,879,2009,2009,123,389813
Technology&Science,26,Cary Fowler,1028,2009,2009,99,679728
Technology&Science,27,Joshua Silver,334,2009,2009,118,751452
Society,19,Geoff Mulgan,1080,2009,2009,91,308233
Technology&Science,32,Evan Grant,279,2009,2009,125,811565
Technology&Science,20,Steve Truglia,870,2009,2009,60,571893
Environment,21,James Balog,1162,2009,2009,288,914170
Self-development,23,Lewis Pugh,1133,2009,2009,110,689476
Technology&Science,33,Rebecca Saxe,1011,2009,2009,386,2856240
Society,32,Misha Glenny,1170,2009,2009,91,891314
Technology&Science,29,Bjarke Ingels,1094,2009,2009,227,2129938
Technology&Science,31,John Lloyd,624,2009,2009,108,1159134
Health&Medical,39,Oliver Sacks,1128,2009,2009,328,4233352
Art,30,Imogen Heap,237,2009,2009,91,883282
Technology&Science,24,Jonathan Zittrain,1191,2009,2009,96,717483
Society,29,Evgeny Morozov,713,2009,2009,110,430276
Environment,44,William Kamkwamba,359,2009,2009,292,2161908
Art,25,Taryn Simon,1052,2009,2009,171,1581054
Economy,24,Jacqueline Novogratz,1024,2009,2009,52,436147
Society,26,Parag Khanna,1133,2009,2009,185,935859
Art,22,Tim Brown,1010,2009,2009,64,1340175
Society,30,Karen Armstrong,594,2009,2009,311,732390
Technology&Science,23,Garik Israelian,952,2009,2009,70,593547
Technology&Science,29,Stefan Sagmeister,1060,2009,2009,158,2956967
Society,31,Carolyn Steel,940,2009,2009,111,1014285
Self-development,25,David Logan,999,2009,2009,248,1404586
Self-development,46,Chimamanda Ngozi Adichie,1129,2009,2009,1155,13298341
Technology&Science,35,Beau Lotto,990,2009,2009,234,5006241
Art,32,Sam Martin,267,2009,2009,149,739428
Society,20,Eric Sanderson,969,2009,2009,57,1431255
Technology&Science,33,David Hanson,297,2009,2009,178,906262
Self-development,32,Rory Sutherland,999,2009,2009,286,2882836
Technology&Science,28,Henry Markram,890,2009,2009,343,1180127
Self-development,33,Julian Treasure,346,2009,2009,184,1557795
Society,21,John Gerzema,994,2009,2009,133,760493
Technology&Science,24,Paul Debevec,366,2009,2009,89,748862
Art,33,Itay Talgam,1251,2009,2009,207,2890058
Technology&Science,35,Marc Koska,285,2009,2009,233,629018
Economy,29,Ian Goldin,426,2009,2009,112,1072435
Self-development,25,David Deutsch,998,2009,2009,270,938937
Art,28,Rachel Armstrong,452,2009,2009,156,1095398
Self-development,35,Becky  Blanton,429,2009,2009,259,1098346
Technology&Science,23,Marcus du Sautoy,1099,2009,2009,72,1010292
Technology&Science,28,Stefana Broadbent,531,2009,2009,152,1198897
Technology&Science,31,Rachel Pike,253,2009,2009,124,470615
Art,36,Edward Burtynsky,220,2009,2009,75,480142
Technology&Science,29,Cynthia Schneider,337,2009,2009,70,441609
Technology&Science,42,Pranav Mistry,830,2009,2009,1329,16097077
Technology&Science,19,Mathieu Lehanneur,1084,2009,2009,50,431307
Education,20,Fields Wicker-Miurin,995,2009,2009,55,956175
Society,31,Devdutt Pattanaik,1106,2009,2009,477,1683308
Education,24,Tom Wujec,565,2009,2009,88,569026
Society,36,Hans Rosling,950,2009,2009,276,1738069
Society,22,Rob Hopkins,1000,2009,2009,199,807653
Art,27,Magnus Larsson,703,2009,2009,148,666784
Society,23,Mallika Sarabhai,1012,2009,2009,595,481834
Technology&Science,23,Shashi Tharoor,1073,2009,2009,402,1437808
Society,23,Gordon Brown,1030,2009,2009,193,512817
Technology&Science,27,Andrea Ghez,986,2009,2009,146,763145
Society,22,Anupam Mishra,1034,2009,2009,150,833308
Art,24,Scott Kim,709,2008,2009,39,517779
Society,33,Sunitha Krishnan,762,2009,2009,552,2543750
Self-development,19,Rory  Bremner,881,2009,2009,69,1112000
Art,23,Marc Pachter,1254,2008,2009,56,716979
Health&Medical,22,Thulasiraj Ravilla,1047,2009,2009,64,297107
Art,33,Shereen El Feki,305,2009,2009,171,483137
Economy,28,Loretta Napoleoni,944,2009,2009,97,639995
Self-development,24,Ryan Lobo,680,2009,2009,96,541603
Self-development,38,Alexis Ohanian,266,2009,2009,174,2066733
Environment,25,Charles Anderson,998,2009,2009,56,553253
Self-development,29,James Geary,570,2009,2009,115,819664
Society,23,Shaffi Mather,641,2009,2009,140,497172
Technology&Science,29,Steven  Cowley,594,2009,2009,184,706235
Society,33,Asher Hasan,268,2009,2009,168,415223
Technology&Science,26,Bertrand Piccard,1066,2009,2010,93,778978
Technology&Science,41,Vilayanur Ramachandran,463,2009,2010,380,1939385
Technology&Science,20,Nick Veasey,798,2009,2010,58,1780196
Self-development,32,Dan Buettner,1179,2009,2010,304,3157446
Environment,23,Romulus Whitaker,1038,2009,2010,42,397719
Art,31,Herbie Hancock,1505,2009,2010,74,652315
Society,32,Kartick Satyanarayan,242,2009,2010,93,415566
Education,36,Kiran Sethi,572,2009,2010,277,1417163
Economy,48,Lalitesh Katragadda,174,2009,2010,43,359942
Technology&Science,20,Charles Fleischer,1083,2005,2010,120,1055904
Health&Medical,34,David Blaine,1219,2009,2010,296,15601385
Art,24,Ravin Agrawal,394,2009,2010,35,437800
Society,33,Anthony Atala,1072,2009,2010,151,1705132
Education,33,Bill Davenhall,565,2009,2010,111,761716
Health&Medical,22,Joshua Prince-Ramus,1122,2009,2010,37,717531
Art,27,Eve Ensler,1194,2009,2010,472,1224278
Society,40,Jane Chen,286,2009,2010,144,702550
Society,69,Derek Sivers,162,2009,2010,238,2835976
Society,23,Sendhil Mullainathan,1081,2009,2010,113,495585
Economy,21,Jamie Heywood,1014,2009,2010,95,528451
Health&Medical,20,George Whitesides,976,2009,2010,68,496827
Technology&Science,23,David Agus,1424,2009,2010,171,696319
Health&Medical,24,"Tom Shannon, John Hockenberry",801,2009,2010,36,433879
Art,26,Peter Eigen,1021,2009,2010,196,741625
Politics,49,Jamie Oliver,1313,2010,2010,1137,7638978
Education,28,Blaise Agüera y Arcas,465,2010,2010,209,1718568
Technology&Science,29,David Cameron,839,2010,2010,250,656762
Politics,33,Aimee Mullins,1318,2009,2010,266,2054164
Self-development,38,Bill Gates,1669,2010,2010,948,4329332
Politics,22,Kevin Kelly,992,2009,2010,142,540897
Technology&Science,24,Philip K. Howard,1101,2010,2010,277,610454
Society,23,Eric Topol,1018,2009,2010,110,710710
Health&Medical,37,Temple Grandin,1183,2010,2010,383,4375111
Education,30,Pawan Sinha,1103,2009,2010,68,840223
Health&Medical,25,Raghava KK,1075,2010,2010,189,674090
Art,38,Daniel Kahneman,1206,2010,2010,425,3841631
Economy,20,Harsha Bhogle,1019,2009,2010,90,567000
Society,24,Gary Flake,385,2010,2010,112,654080
Technology&Science,36,James Cameron,1028,2010,2010,197,1890066
Art,26,The LXD,1008,2010,2010,216,2797058
Art,22,Srikumar Rao,1092,2009,2010,258,971594
Self-development,33,Tim Berners-Lee,333,2010,2010,90,680486
Technology&Science,31,Gary Lauder's new traffic sign,266,2010,2010,210,575346
Self-development,31,Dan Barber,1142,2010,2010,317,1974007
Self-development,33,Eric Mead,545,2009,2010,164,1022426
Self-development,20,Mark Roth,1093,2010,2010,101,708408
Technology&Science,19,Eric Dishman,1001,2009,2010,82,384626
Technology&Science,34,Jane McGonigal,1203,2010,2010,1309,4573252
Art,24,Ken Kamler,1249,2009,2010,104,719238
Health&Medical,26,Shekhar Kapur,1274,2009,2010,73,733293
Self-development,39,Sam Harris,1386,2010,2010,3356,3433437
Technology&Science,31,Juliana Machado Ferreira,334,2010,2010,76,320717
Environment,37,Alan Siegel,266,2010,2010,146,876649
Society,25,Joel Levine,974,2009,2010,180,622046
Technology&Science,34,Robert Gupta,566,2010,2010,180,1163387
Self-development,26,Kevin Bales,1081,2010,2010,270,857400
Society,32,Shukla Bose,983,2009,2010,152,940686
Education,41,Kirk Citron,201,2010,2010,137,684929
Society,65,Derek Sivers,189,2010,2010,422,6475731
Health&Medical,58,Adora Svitak,492,2010,2010,795,4782854
Society,32,Elizabeth Pisani,1154,2010,2010,266,1222800
Society,21,Dean Kamen,1172,2009,2010,140,523422
Technology&Science,26,Dennis Hong,955,2009,2010,183,1922563
Technology&Science,28,Jonathan Drori,432,2010,2010,59,403708
Education,22,Natalie Merchant,1758,2010,2010,192,860139
Art,31,Michael Specter,1141,2010,2010,2272,1838628
Technology&Science,36,Jonathan Klein,362,2010,2010,117,1209663
Society,30,Catherine Mohr,373,2010,2010,140,766536
Society,24,Thelma Golden,748,2009,2010,65,524790
Art,22,Edith Widder,1039,2010,2010,77,579754
Environment,36,James Randi,1039,2007,2010,1545,2611707
Society,28,Frederick Balagadde,371,2010,2010,38,295059
Technology&Science,34,Tom Wujec,411,2010,2010,181,3917039
Art,33,Omar Ahmad,367,2010,2010,89,538014
Politics,23,Kavita Ramdas,1418,2009,2010,150,473956
Society,24,Stephen Wolfram,1198,2010,2010,278,1542898
Society,26,Roz Savage,1115,2010,2010,84,642744
Environment,22,George Whitesides,1115,2010,2010,79,619489
Technology&Science,37,Sebastian Wernicke,359,2010,2010,279,2212944
Education,28,Esther Duflo,1007,2010,2010,206,876307
Society,45,Simon Sinek,1084,2009,2010,1930,34309432
Education,24,Jeremy Jackson,1099,2010,2010,292,612260
Environment,26,Anil Gupta,1375,2009,2010,120,649531
Art,26,Thomas Dolby,297,2010,2010,64,577356
Art,31,Nicholas Christakis,1259,2010,2010,314,1324929
Technology&Science,24,Nathan Myhrvold,1018,2010,2010,304,851719
Health&Medical,20,Enric Sala,1195,2010,2010,98,316507
Environment,32,Dan Meyer,699,2010,2010,454,2465179
Education,41,Julia Sweeney,316,2010,2010,233,3362099
Society,38,William Li,1202,2010,2010,585,4149065
Health&Medical,49,Graham Hill,345,2010,2010,650,2108816
Society,21,Dee Boersma,909,2010,2010,68,358820
Environment,31,Richard Sears,588,2010,2010,212,603657
Society,25,Craig Venter,1097,2010,2010,580,1086357
Technology&Science,57,Ken Robinson,1008,2010,2010,1234,7266316
Education,30,Johanna Blakley,936,2010,2010,304,1033272
Society,32,Sharmeen Obaid-Chinoy,489,2010,2010,1502,1057238
Society,25,Seth Berkley,1265,2010,2010,139,541076
Art,23,Lawrence Lessig,1125,2010,2010,88,389961
Art,23,John Underkoffler,922,2010,2010,227,1514014
Technology&Science,26,Brian Skerry,973,2010,2010,342,1426130
Environment,28,"Christopher ""moot"" Poole""",790,2010,2010,477,1451649
Society,33,Brian Cox,989,2010,2010,228,1616851
Economy,33,Adam Sadowsky,868,2010,2010,142,1059130
Art,32,Michael Sandel,1182,2010,2010,393,1160672
Society,23,John Kasaona,946,2010,2010,86,327406
Self-development,30,Rory Sutherland,757,2010,2010,491,1056987
Art,27,Stewart Brand + Mark Z. Jacobson,1379,2010,2010,921,1294171
Society,30,David Byrne,960,2010,2010,149,1231159
Art,34,Michael Shermer,1141,2010,2010,837,2428958
Self-development,35,Margaret Gould Stewart,345,2010,2010,223,777079
Society,22,Peter Tyack,1280,2010,2010,62,428470
Education,34,Cameron Herold,1284,2010,2010,683,1579033
Education,31,Ananda Shankar Jayant,967,2009,2010,155,587639
Health&Medical,34,Chip Conley,1059,2010,2010,363,2785058
Economy,24,Marian Bantjes,988,2010,2010,135,629753
Art,29,Charles Leadbeater,1138,2010,2010,147,772299
Education,43,Aditi Shankardass,541,2009,2010,287,957087
Health&Medical,32,Hillel Cooperman,350,2010,2010,138,1014201
Society,30,Clay Shirky,787,2010,2010,294,954924
Society,22,Ellen Dunham-Jones,1163,2010,2010,118,668454
Environment,21,Stephen Palumbi,942,2010,2010,69,362741
Health&Medical,35,Carter Emmart,417,2010,2010,179,1678493
Technology&Science,48,Mitchell Joachim,176,2010,2010,254,1332785
Self-development,29,Benoit Mandelbrot,1029,2010,2010,127,1212079
Technology&Science,28,Ellen  Gustafson,675,2010,2010,296,664485
Health&Medical,32,Nalini Nadkarni,307,2010,2010,150,426610
Technology&Science,46,Hans Rosling,604,2010,2010,607,2934262
Society,28,Carl Safina,1195,2010,2010,368,594725
Society,34,Matt Ridley,986,2010,2010,459,2156157
Society,26,Ethan Zuckerman,1185,2010,2010,141,694714
Art,33,Elif Shafak,1185,2010,2010,1217,1763449
Politics,44,Julian Assange,1173,2010,2010,926,2278271
Society,25,Naif Al-Mutawa,1102,2010,2010,804,819361
Self-development,27,Dimitar Sasselov,1110,2010,2010,274,1123482
Technology&Science,34,Tan Le,636,2010,2010,581,2468906
Health&Medical,28,Kevin Stone,411,2010,2010,113,486269
Health&Medical,37,Sheena Iyengar,1448,2010,2010,959,3087856
Art,17,Susan Shaw,1002,2010,2010,123,220099
Self-development,19,John Delaney,1250,2010,2010,58,332099
Technology&Science,28,Laurie Santos,1185,2010,2010,613,1236817
Economy,31,Lewis Pugh,585,2010,2010,173,1029186
Self-development,23,Jason Clay,1169,2010,2010,169,431548
Environment,30,Sheryl WuDunn,1102,2010,2010,538,1049847
Society,24,Peter Molyneux,655,2010,2010,207,734490
Art,25,Jamil Abu-Wardeh,539,2010,2010,99,799855
Society,34,Maz Jobrani,554,2010,2010,287,4646183
Society,27,Seth Priebatsch,722,2010,2010,295,816019
Art,31,David McCandless,1076,2010,2010,285,2581998
Education,27,Lee Hotz,585,2010,2010,236,592082
Society,22,Jim Toomey,855,2010,2010,66,479113
Education,24,Lisa Margonelli,1034,2010,2010,175,452632
Politics,37,Dan Cobley,458,2010,2010,137,1373377
Economy,36,Nic Marks,1009,2010,2010,396,1597719
Society,25,Johan Rockstrom,1090,2010,2010,568,924806
Environment,29,His Holiness the Karmapa,1523,2009,2010,215,800001
Technology&Science,58,Derek Sivers,195,2010,2010,582,4657799
Self-development,28,Rachel Sussman,848,2010,2010,175,1424250
Environment,43,Sugata Mitra,1033,2010,2010,626,2528934
Education,22,Alwar Balasubramaniam,1011,2009,2010,70,427590
Art,26,Carne Ross,1238,2009,2010,90,343532
Politics,27,Ben Cameron,764,2010,2010,97,497710
Society,23,Rob Dunbar,1094,2010,2010,331,547649
Environment,31,Chris Anderson,1133,2010,2010,484,1306536
Technology&Science,39,Jessa Gamble,241,2010,2010,241,2244295
Environment,28,Nicholas Christakis,1074,2010,2010,125,568761
Health&Medical,33,Caroline Phillips,341,2010,2010,60,649740
Society,30,Christien Meindertsma,534,2010,2010,209,1157394
Society,33,Steven Johnson,1065,2010,2010,359,3951683
Self-development,21,Mitchell Besser,1110,2010,2010,40,235221
Health&Medical,32,Annie Lennox,556,2010,2010,105,484254
Health&Medical,35,Fabian Hemmert,255,2010,2010,159,875821
Society,35,Julian Treasure,434,2010,2010,229,1147609
Environment,33,Gary Wolf,310,2010,2010,141,865560
Self-development,28,Sebastian Seung,1165,2010,2010,411,942928
Health&Medical,26,Inge Missmahl,641,2010,2010,68,343349
Society,31,Mechai Viravaidya,830,2010,2010,233,1059098
Society,29,Eben Bayer,545,2010,2010,266,1097901
Environment,28,Tim Jackson,1223,2010,2010,364,899942
Economy,21,Barbara Block,1206,2010,2010,35,334820
Environment,33,Hans Rosling,934,2010,2010,342,738895
Health&Medical,55,Stacey Kramer,197,2010,2010,505,3450119
Health&Medical,30,Stefano Mancuso,830,2010,2010,954,1075196
Technology&Science,31,Melinda Gates,988,2010,2010,322,1189754
Education,27,Peter Haas,510,2010,2010,77,317127
Education,23,Natalie Jeremijenko,1190,2009,2010,69,414028
Art,30,Ze Frank,1080,2010,2010,148,1876053
Society,35,Jessica Jackley,1113,2010,2010,718,1359611
Society,29,Heribert Watzke,914,2010,2010,266,1342475
Self-development,32,Dianna Cohen,318,2010,2010,259,688861
Environment,39,Patrick Chappatte,752,2010,2010,135,759736
Art,34,"David Byrne, Ethel + Thomas Dolby",195,2010,2010,63,621361
Art,23,R.A. Mashelkar,1180,2009,2010,190,622593
Technology&Science,25,Joseph Nye,1095,2010,2010,264,954049
Society,35,Barton Seaver,566,2010,2010,91,556032
Self-development,24,Shimon Steinberg,923,2010,2010,83,368770
Technology&Science,34,Miwa Matreyek,671,2010,2010,144,829399
Art,30,Tom Chatfield,988,2010,2010,343,1021573
Art,36,David Bismark,422,2010,2010,834,543551
Society,28,Greg Stone,1035,2010,2010,58,454323
Environment,28,Gero Miesenboeck,1054,2010,2010,124,611081
Health&Medical,28,Andrew Bird,1159,2010,2010,226,1231423
Art,29,Emily Pilloton,1003,2010,2010,156,943245
Education,24,Stefan Wolff,1055,2010,2010,74,307628
Politics,36,Aaron Huey,927,2010,2010,850,1347633
Society,26,Auret van Heerden,1066,2010,2010,146,586814
Society,36,Eric Berlow,222,2010,2010,134,1154719
Technology&Science,32,Conrad Wolfram,1039,2010,2010,579,1499219
Education,34,Denis Dutton,933,2010,2010,388,2012387
Society,24,Shimon Schocken,946,2010,2010,52,539950
Education,33,John Hardy,815,2010,2010,305,960523
Education,22,Kristina Gjerde,946,2010,2010,31,349168
Society,27,Kim Gorgens,561,2010,2010,140,452578
Health&Medical,30,Zainab Salbi,1066,2010,2010,187,505716
Society,37,Jason Fried,921,2010,2010,589,4908787
Technology&Science,26,Dan Phillips,1077,2010,2010,189,1112351
Technology&Science,39,Birke Baehr,314,2010,2010,767,2152734
Environment,37,William Ury,1125,2010,2010,366,1828181
Society,32,Marcel Dicke,994,2010,2010,297,1393541
Environment,31,Bart Weetjens,731,2010,2010,233,532619
Technology&Science,32,Arthur Potts Dawson,529,2010,2010,117,833901
Society,28,Halla Tómasdóttir,585,2010,2010,209,588691
Society,36,Kiran Bedi,527,2010,2010,220,849372
Society,29,Hanna Rosin,972,2010,2010,831,851862
Society,36,Diana Laufenberg,605,2010,2010,301,1882742
Education,32,Rufus Griscom + Alisa Volkman,1028,2010,2010,219,2108409
Society,29,Rachel Botsman,994,2010,2010,291,1125092
Education,28,Beverly + Dereck Joubert,1040,2010,2010,153,858303
Environment,46,Sheryl Sandberg,898,2010,2010,868,7431179
Society,23,Majora Carter,1079,2010,2010,68,702793
Society,52,Brené Brown,1219,2010,2010,1927,31168150
Health&Medical,32,Barry Schwartz,1387,2010,2010,272,948622
Self-development,57,Arianna Huffington,250,2010,2011,409,4241096
Self-development,35,Lesley Hazleton,573,2010,2011,2374,1847256
Self-development,28,Charles Limb,991,2010,2011,214,1231800
Health&Medical,30,Deborah Rhodes,1268,2010,2011,207,892492
Health&Medical,36,Neil Pasricha,1053,2010,2011,592,2859644
Self-development,32,Jody Williams,652,2010,2011,205,667218
Society,38,Amber Case,473,2010,2011,250,1475333
Technology&Science,29,Thomas Thwaites,651,2010,2011,179,1301834
Technology&Science,31,Elizabeth Lesser,668,2010,2011,322,1208946
Politics,35,Ali Carr-Chellman,750,2010,2011,616,953587
Education,27,Naomi Klein,1189,2010,2011,342,900395
Society,28,Charity Tillemann-Dick,1085,2010,2011,142,521502
Health&Medical,26,Van Jones,769,2010,2011,356,462012
Environment,22,Anders Ynnerman,996,2010,2011,55,463366
Health&Medical,30,Heather Knight,364,2010,2011,114,757335
Technology&Science,33,Martin Jacques,1290,2010,2011,920,2327025
Economy,27,Thomas Goetz,993,2010,2011,98,497626
Health&Medical,38,Liza Donnelly,402,2010,2011,132,1300622
Society,26,Ariel Garten,904,2011,2011,146,399314
Technology&Science,20,Bruce Feiler,1233,2010,2011,58,465856
Self-development,25,Kate Orff,607,2010,2011,76,316975
Environment,30,Dale Dougherty,707,2011,2011,98,724865
Technology&Science,35,Johanna Blakley,507,2010,2011,168,1272294
Society,32,Christopher McDougall,952,2010,2011,350,2434842
Society,35,Suheir Hammad,353,2010,2011,89,599444
Society,41,Nigel Marsh,605,2010,2011,283,3813685
Self-development,27,Cynthia Breazeal,844,2010,2011,189,1064574
Technology&Science,35,Hawa Abdi + Deqo Mohamed,523,2010,2011,79,348647
Society,32,Michael Pawlyn,826,2010,2011,229,1740568
Technology&Science,31,Geert Chatrou,716,2010,2011,93,1917442
Society,25,Krista Tippett,953,2010,2011,84,694181
Society,45,Patricia Kuhl,617,2010,2011,347,2513242
Technology&Science,27,Jacqueline Novogratz,1068,2010,2011,165,861056
Society,26,Lisa Gansky,887,2011,2011,76,710327
Technology&Science,35,Madeleine Albright,779,2010,2011,107,729867
Society,31,Noreena Hertz,1098,2010,2011,273,880598
Economy,24,Iain Hutchison,954,2010,2011,38,620073
Technology&Science,30,Elizabeth Lindsey,613,2010,2011,555,439180
Society,23,Danny Hillis,1195,2010,2011,82,420269
Health&Medical,36,Ahn Trio,565,2010,2011,97,746852
Art,32,Wadah Khanfar,1032,2011,2011,163,922923
Society,38,JR,1449,2011,2011,378,2626483
Self-development,32,Wael Ghonim,591,2011,2011,190,914212
Society,35,Bill Gates,616,2011,2011,231,1866264
Society,27,Anthony Atala,1044,2011,2011,249,2783715
Technology&Science,29,Courtney E. Martin,686,2010,2011,202,953671
Education,33,Deb Roy,1192,2011,2011,370,2475423
Education,30,Rob Harmon,526,2010,2011,134,596776
Environment,33,David Brooks,1124,2011,2011,226,1132752
Society,30,Janna Levin,1063,2011,2011,239,1119772
Technology&Science,48,Mark Bezos,247,2011,2011,163,2178952
Self-development,29,Rogier van der Heide,1011,2010,2011,109,562653
Society,42,Sarah Kay,1105,2011,2011,645,10529854
Art,46,Hans Rosling,555,2010,2011,268,2391977
Economy,29,Isabel Behncke,421,2011,2011,232,710619
Technology&Science,28,Paul Root Wolpe,1182,2010,2011,773,1226731
Technology&Science,33,Eythor Bender,383,2011,2011,226,1370710
Society,25,Claron McFadden,654,2010,2011,71,400082
Art,54,Patricia Ryan ,635,2010,2011,353,1624741
Society,31,Ralph Langner,640,2011,2011,214,1349028
Technology&Science,23,Handspring Puppet Co.,1091,2011,2011,102,1530711
Art,43,Sebastian Thrun,254,2011,2011,289,2442977
Technology&Science,36,Eric Whitacre,874,2011,2011,270,3421371
Art,34,AnnMarie Thomas,248,2011,2011,86,856326
Technology&Science,33,Stanley McChrystal,938,2011,2011,278,2467385
Society,27,Chade-Meng Tan,848,2010,2011,110,893343
Society,31,Morgan Spurlock,1168,2011,2011,154,2049103
Society,33,Mick Ebeling,469,2011,2011,158,943624
Technology&Science,33,Caroline Casey,1157,2010,2011,207,2030154
Society,31,Jackson Browne,266,2010,2011,32,656851
Art,37,David Christian,1060,2011,2011,542,7481004
Society,40,Dave Meslin,425,2010,2011,221,1612925
Politics,29,Roger Ebert,1169,2011,2011,134,1104345
Art,44,Marcin Jakubowski,250,2011,2011,324,1479352
Society,31,Susan Lim,986,2010,2011,273,620231
Health&Medical,36,Sam Richards,1087,2010,2011,529,1531265
Technology&Science,42,Kathryn Schulz,1071,2011,2011,480,3976339
Self-development,35,John Hunter,1190,2011,2011,290,1394203
Education,26,Anil Ananthaswamy,848,2010,2011,69,537035
Technology&Science,53,Ric Elias,302,2011,2011,394,6636475
Self-development,30,Harvey Fineberg,1041,2011,2011,328,1021180
Technology&Science,30,Bruce Schneier,1265,2010,2011,78,744089
Technology&Science,33,Angela Belcher,625,2011,2011,140,862689
Technology&Science,47,Mike Matas,274,2011,2011,236,1507048
Technology&Science,36,Arvind Gupta,930,2010,2011,119,1367702
Technology&Science,41,Eli Pariser,544,2011,2011,507,4039403
Technology&Science,32,Aicha el-Wafi + Phyllis Rodriguez,594,2010,2011,149,820976
Society,29,Carlo Ratti,946,2011,2011,80,657251
Technology&Science,39,Suzanne Lee,400,2011,2011,144,1218882
Technology&Science,34,Sean Carroll,954,2011,2011,363,1549458
Technology&Science,40,Louie Schwartzberg,468,2011,2011,162,1885751
Technology&Science,35,Paul Nicklen,1075,2011,2011,213,2004519
Society,32,Fiorenzo Omenetto,580,2011,2011,94,747979
Technology&Science,51,Ron Gutman,446,2011,2011,299,4653286
Self-development,39,Amit Sood,335,2011,2011,124,612377
Technology&Science,30,Leonard Susskind,881,2011,2011,69,846544
Self-development,32,Ed Boyden,1104,2011,2011,170,931567
Technology&Science,31,Thomas Heatherwick,1012,2011,2011,143,1586547
Technology&Science,38,Elliot Krane,494,2011,2011,427,1778606
Health&Medical,34,Edith Widder,765,2011,2011,95,1215549
Society,59,Terry Moore,179,2005,2011,309,6263759
Society,27,Aaron Koblin,1098,2011,2011,79,1474192
Technology&Science,26,Bruce Aylward,1389,2011,2011,97,509375
Health&Medical,32,Shirin Neshat,644,2010,2011,165,650274
Art,37,Mustafa Akyol,1031,2011,2011,615,1113407
Society,39,Robert Gupta + Joshua Roman,561,2011,2011,72,769926
Society,32,Dennis Hong,548,2011,2011,169,703439
Technology&Science,38,Stefan Sagmeister,573,2010,2011,93,1670894
Society,30,Aaron O'Connell,471,2011,2011,333,1272198
Technology&Science,39,Jessi Arrington,324,2011,2011,188,1202928
Society,30,Damon Horowitz,978,2011,2011,135,681873
Society,31,Jack Horner,996,2011,2011,189,2442996
Technology&Science,35,Janet Echelman,566,2011,2011,2492,1832930
Art,28,Paul Romer,553,2011,2011,383,461382
Economy,28,Alice Dreger,1128,2010,2011,241,1071132
Health&Medical,41,JD Schramm,254,2011,2011,339,1621707
Society,23,Daniel Kraft,1101,2011,2011,123,869847
Technology&Science,30,Shea Hembrey,1008,2011,2011,281,1486880
Art,28,Steve Keil,1076,2011,2011,199,602203
Economy,41,Camille Seaman,251,2011,2011,121,938456
Environment,33,Onyx Ashanti,389,2011,2011,226,788065
Art,34,Maya Beiser,1209,2011,2011,100,929077
Art,26,Bill Ford,1008,2011,2011,279,800056
Technology&Science,38,Daniel Tammet,653,2011,2011,220,1751030
Art,42,Jok Church,213,2007,2011,78,727487
Self-development,32,Honor Harger,676,2011,2011,85,909194
Technology&Science,39,Joshua Walters,351,2011,2011,235,1637656
Health&Medical,36,Emiliano Salinas,737,2010,2011,471,525446
Society,37,Rajesh Rao,1021,2011,2011,232,1190085
Technology&Science,26,Dave deBronkart,991,2011,2011,199,534289
Society,36,Robert Hammond,341,2011,2011,92,704205
Technology&Science,72,Matt Cutts,207,2011,2011,736,8838874
Self-development,35,Nathan Myhrvold,605,2011,2011,159,1396197
Art,32,Jonathan Drori,828,2011,2011,197,938976
Environment,22,Simon Lewis,1337,2010,2011,216,690977
Technology&Science,37,Nina Tandon,253,2011,2011,164,490275
Society,34,Rebecca MacKinnon,892,2011,2011,123,735708
Technology&Science,29,Maajid Nawaz,1073,2011,2011,264,703559
Politics,34,Tim Harford,1087,2011,2011,316,1734555
Society,34,Nadia Al-Sakkaf,818,2011,2011,199,498409
Society,39,Mikko Hypponen,1054,2011,2011,222,1660801
Technology&Science,37,Thandie Newton,835,2011,2011,621,2462734
Self-development,36,Kevin Slavin,922,2011,2011,292,3688975
Technology&Science,45,Markus Fischer,379,2011,2011,440,6264902
Technology&Science,31,Rory Stewart,1202,2011,2011,212,659276
Society,34,Geoffrey West,1053,2011,2011,238,1435933
Technology&Science,41,Paul Bloom,977,2011,2011,212,1948949
Society,32,Josette Sheeran,1150,2011,2011,162,812508
Society,48,Julian Treasure,470,2011,2011,351,5402228
Society,42,Adam Ostrow,329,2011,2011,189,1134961
Technology&Science,37,Harald Haas,771,2011,2011,375,2500389
Technology&Science,43,Mark Pagel,1210,2011,2011,405,1421357
Technology&Science,38,Jessica Green,325,2011,2011,75,551041
Technology&Science,39,Philip Zimbardo,286,2011,2011,656,2190746
Society,37,Eve Ensler,778,2010,2011,300,1349669
Health&Medical,34,Alex Steffen,613,2011,2011,131,984738
